ID1, ID2, A12, A21, alpha12,,,
1102,1123,51.1705,-42.8613,0.3009,Ethanol,ThreeMethylOnebutanol,
1102,1680,820.8023,1349.6853,0.4995,Ethanol,Bromobenzene,
1102,1571,645.7829,1383.711,0.5229,Ethanol,Chlorobezene,
1102,501,516.141,1065.9086,0.4774,Ethanol,Benzene,
1102,1792,1823.3542,-523.0474,0.3005,Ethanol,Aniline,
1102,2797,315.6078,-339.0825,0.3056,Ethanol,ThreeMethylpyridine,
1102,137,876.7933,1390.4162,0.4485,Ethanol,Cyclohexane,
1102,1151,1719.8644,-833.8389,0.292,Ethanol,Cyclohexanol,
1102,1315,841.9935,-55.3231,0.2958,Ethanol,ButylAcetate,
1102,1446,442.6124,634.1687,0.2945,Ethanol,Dipropylether,
1102,1706,-248.0407,697.9004,0.2996,Ethanol,Triethylamine,
1102,502,713.5653,1147.8607,0.5292,Ethanol,Toluene,
1102,1461,3458.4788,-1438.8884,0.1704,Ethanol,Anisole,
1102,2797,-48.2159,-19.6212,0.3016,Ethanol,Two6Dimethylpyridine,
1102,138,552.3897,266.1248,0.2964,Ethanol,Pentylacetate,
1102,17,1137.265,1453.5947,0.4786,Ethanol,Heptane,
1102,504,801.7191,1006.8831,0.4962,Ethanol,Ethylbezene,
1102,507,768.3633,760.08,0.2914,Ethanol,Pxylene,
1102,27,1206.8097,1385.3721,0.4717,Ethanol,Octane,
1102,22,1091.0432,1500.6711,0.4738,Ethanol,TwoTwoFourTrimethylpentane,
1102,68,2359.4082,1509.2033,0.4448,Ethanol,Hexadecane,
1102,1279,975.6816,-343.5446,0.2988,Ethanol,Oleicacid,
1102,1921,-57.9601,1241.7396,0.2937,Ethanol,Water,
1102,1521,-285.3881,1289.2198,0.2909,Ethanol,Chloroform,
1102,1051,375.3497,45.3706,0.3006,Ethanol,Acetone,
1102,1052,437.1923,33.6363,0.3022,Ethanol,TwoButanone,
1102,501,255.3591,1047.1959,0.297,Ethanol,Benzene,
